0.000959,0.000894,0.000897222,0.000892083,
0.023236,0.0232563,0.0232691,0.0232755,
0.115094,0.114616,0.114562,0.11442,
0.205053,0.205242,0.205163,0.205106,
0.384432,0.38364,0.383719,0.383689,
0.720895,0.717933,0.717979,0.718012,
1.44542,1.4438,1.44375,1.44358,
2.28804,2.28926,2.28871,2.28875,
3.00284,3.00285,3.00237,3.00298,
5.62065,5.62185,5.62315,5.62279,
9.25843,9.25407,9.2556,9.25371,
12.3779,12.3645,12.3589,12.3579,
16.805,16.7971,16.79,16.7947,
23.4764,23.471,23.4714,23.4641,
26.191,26.1478,26.1379,26.1435,
44.1887,44.2095,44.2249,44.224,
54.498,54.4705,54.4575,54.4627,
76.489,76.3576,76.3305,76.3294,
74.2095,74.1378,74.1652,74.1577,
154.82,154.711,154.783,154.737,
123.418,123.363,123.383,123.411,
210.876,210.801,210.79,210.877,
221.285,221.211,221.103,221.13,
298.714,298.551,298.523,298.447,
400.334,400.569,400.568,400.842,
