0.00231533,0.0021845,0.00218571,0.00217612,0.00217067,0.00216917,0.00216638,0.0021655,
0.0320337,0.031686,0.031616,0.0315,0.0315104,0.0315072,0.0314956,0.0314933,
0.201813,0.203976,0.202782,0.201828,0.201507,0.201637,0.201454,0.201376,
0.361304,0.360371,0.360133,0.360153,0.360329,0.360482,0.360596,0.360681,
0.907171,0.905768,0.905565,0.905383,0.905198,0.904954,0.904919,0.904842,
1.13204,1.13222,1.13144,1.1316,1.132,1.13226,1.13203,1.13199,
16.0028,16.0125,16.0134,16.0123,16.0085,16.008,16.0097,16.0086,
67.5671,67.5598,67.582,67.5905,67.61,68.4597,68.9243,69.3184,
4.59746,4.58406,4.58242,4.58227,4.58052,4.58067,4.58142,4.58246,
9.49811,9.50246,9.50221,9.50554,9.5048,9.50477,9.50565,9.50816,
17.0144,17.0123,17.0133,17.0132,17.0117,17.0136,17.0148,17.0142,
17.8584,17.8844,17.8746,17.8681,17.8784,17.8845,17.8905,17.8971,
24.7718,24.7715,24.7917,24.7892,24.7805,24.7759,24.7818,24.7872,
58.2234,58.2479,58.2279,58.2419,58.2373,58.2285,58.2269,58.2266,
41.9091,41.8916,41.8707,41.8372,41.84,41.8299,41.8289,41.8191,
67.0264,66.9743,66.9815,66.9951,67.0008,66.9944,66.9904,66.9906,
81.5788,81.5418,81.5812,81.5721,81.5732,81.5704,81.5522,81.5535,
83.2027,83.1859,83.1924,83.2058,83.2243,83.2312,83.2518,83.2555,
102.439,102.423,102.422,102.381,102.353,102.311,102.297,102.291,
160.012,160.013,160.069,160.073,160.104,160.115,160.103,160.129,
175.628,175.645,175.535,175.502,175.592,175.579,175.587,175.632,
256.432,256.098,255.94,255.786,255.882,255.92,255.902,255.87,
285.183,284.47,284.409,284.35,284.327,284.356,284.254,284.198,
341.434,341.681,341.447,341.259,341.225,341.264,341.295,341.284,
