0.000788,0.00076695,0.0007574,0.0007501,0.00074824,0.000744967,0.000744429,0.00074235,0.000741144,0.00074284,0.000741982,0.000740908,
0.00235733,0.00373701,0.00494409,0.00598819,0.00691042,0.00773286,0.00846514,0.00913902,0.00973698,0.0102779,0.0107733,0.0112267,
0.0151311,0.0187332,0.0220683,0.0251567,0.0280413,0.0307438,0.0332654,0.035624,0.0378449,0.0399332,0.0419031,0.0437536,
0.0479932,0.0520025,0.0558139,0.0594179,0.0628562,0.066146,0.0692711,0.0722415,0.0750843,0.0778076,0.0804108,0.0829104,
0.0888487,0.0945484,0.100038,0.105322,0.110386,0.115291,0.120007,0.124538,0.128904,0.133122,0.137197,0.14114,
0.150265,0.159111,0.167663,0.175955,0.184009,0.191827,0.199389,0.206724,0.213833,0.220757,0.227484,0.234021,
0.250142,0.265782,0.281013,0.295841,0.310293,0.324362,0.338063,0.35143,0.364462,0.377182,0.389594,0.401895,
0.423626,0.444823,0.465525,0.485769,0.505623,0.525085,0.54412,0.562676,0.580768,0.598486,0.615858,0.632842,
0.65673,0.680111,0.703041,0.725488,0.747484,0.769062,0.790199,0.81093,0.831234,0.851167,0.870767,0.889994,
0.931854,0.973457,1.01408,1.0542,1.09351,1.13183,1.16938,1.20627,1.24244,1.27805,1.31288,1.34762,
