0.0009435,0.00092425,0.000913333,0.000907292,
0.0235672,0.0234516,0.0233739,0.0233286,
0.11719,0.116292,0.116742,0.116305,
0.20774,0.206065,0.205356,0.205132,
0.389872,0.387215,0.385808,0.385164,
0.724299,0.721325,0.719889,0.719256,
1.45412,1.44941,1.44777,1.44668,
2.29874,2.29449,2.29289,2.29189,
3.00773,3.00609,3.00576,3.00756,
5.62251,5.62645,5.62556,5.61989,
9.26303,9.2605,9.25367,9.24919,
12.3083,12.3148,12.3288,12.3219,
16.7613,16.7457,16.7452,16.7451,
23.4768,23.3692,23.3415,23.3254,
26.119,26.1101,26.0982,26.0967,
44.1895,44.1963,44.1818,44.1586,
54.6489,54.5855,54.5621,54.5359,
76.2779,76.2573,76.2566,76.2488,
74.1786,74.1658,74.1294,74.1334,
155.616,155.198,155.161,155.058,
123.539,123.532,123.531,123.553,
211.426,211.301,211.291,211.267,
222.379,221.936,221.912,221.919,
298.153,298.978,299.821,299.671,
