0.002171,0.001731,0.00196356,0.00207067,0.00211987,
0.031383,0.0279695,0.0297432,0.030632,0.0311556,
0.199918,0.162974,0.183071,0.193063,0.199157,
0.359104,0.66534,0.495211,0.410218,0.359088,
0.900167,2.75175,1.72276,1.20884,0.900574,
1.12543,1.80077,1.42586,1.23934,1.12665,
16.0079,36.8291,24.9127,19.3446,16.0048,
67.1544,75.5027,58.2143,63.7947,67.1645,
4.58735,14.4192,8.95787,6.22903,4.59175,
9.53062,43.3812,24.5674,15.1617,9.5238,
17.0737,97.7663,52.9256,30.5159,17.0811,
17.8321,54.1004,33.9588,23.9007,17.881,
24.7615,65.2553,42.841,31.5638,24.8191,
58.1338,229.855,134.442,86.7643,58.1751,
41.729,127.001,79.6937,56.0108,41.8001,
66.7017,168.817,112.209,83.8269,66.8645,
81.3558,227.583,146.295,105.681,81.358,
83.0996,222.004,144.84,106.257,83.1168,
102.197,321.517,199.8,138.913,102.362,
160.147,530.267,324.785,222.056,160.409,
175.191,351.444,253.747,204.848,175.607,
256.915,547.279,386.223,306.149,258.048,
286.324,593.4,423.056,337.961,286.806,
